ID,forests,bec,cum,min,var,biomass,height,cover
2879,230,2,4004.44677734375,0,983.5848388671875,3410,10730,5740
2880,230,2,4212.54443359375,0,1002.636962890625,8260,18949,6441
2881,230,2,3861.031005859375,0,996.78509521484375,6609,12925,7405
2882,230,2,4586.68359375,0,718.7415771484375,23399,21104,7806
2883,230,2,4449.20703125,0,943.11737060546875,9698,19217,5847
2884,230,2,3781.117431640625,0,1064.3946533203125,4078,11833,1932
2885,230,2,3459.046875,0,1093.8507080078125,5693,10467,8057
2886,230,2,5884.0283203125,0,571.56439208984375,31264,23463,9298
2887,230,2,3958.628662109375,0,1006.618896484375,10154,16725,5855
2888,230,2,5131.177734375,0,704.81524658203125,26751,21866,8367
2889,230,2,4855.65771484375,0,771.01019287109375,18030,21293,5765
2890,230,2,5096.99267578125,0.11228368431329727,742.4017333984375,26514,25992,9034
2891,230,2,4712.01416015625,0,814.53826904296875,40154,33555,9159
2892,230,2,4272.76416015625,0,963.90966796875,31865,24881,7620
2893,230,2,5356.61376953125,0,699.62640380859375,29499,24651,7167
2894,230,2,6472.91748046875,144.5537872314453,461.20904541015625,12277,15078,9404
2895,230,2,4571.78515625,0,777.2105712890625,3263,9555,4142
2896,230,2,4930.7158203125,0,746.28692626953125,6189,17110,5908
2897,230,2,3813.27587890625,0,981.912353515625,7714,12194,7379
2898,230,2,4719.07763671875,0,699.96435546875,2137,8159,2962
2899,230,2,4132.38525390625,0,1009.837646484375,7918,14278,7567
2900,230,2,3808.775634765625,0,976.927734375,1978,9478,1451
2901,230,2,3879.889892578125,0,1021.46923828125,7338,11757,9715
2902,230,2,4218.06298828125,0,870.61322021484375,1515,6656,2222
2903,230,2,4975.54248046875,0,767.2447509765625,17315,19306,8021
2904,230,2,4158.13427734375,0,929.32073974609375,10262,15593,6515
2905,230,2,6684.34912109375,160.4073028564453,404.0131530761719,9758,13711,9774
2906,230,2,4535.7861328125,0,773.80242919921875,5518,11593,7520
2907,230,2,4822.22802734375,0,771.8929443359375,7453,13077,7059
2908,230,2,3896.10205078125,0,871.14849853515625,6125,13161,6614
2909,230,2,6970.9697265625,95.99185943603516,402.8861389160156,28592,22368,8568
2910,230,2,5855.28759765625,0,604.4056396484375,7823,15944,7069
2911,230,2,4255.216796875,0,907.98870849609375,2643,9193,1973
2912,230,2,4398.21630859375,0,836.10003662109375,31011,25735,4434
2913,230,2,4464.43505859375,0,920.346923828125,26451,24046,7118
2914,230,2,3814.514892578125,0,1070.460693359375,3984,10797,3222
2915,230,2,5886.4189453125,0,611.464111328125,10240,14667,9109
2916,230,2,4679.39404296875,0,834.99945068359375,15880,17043,8788
2917,230,2,4584.939453125,0,845.91131591796875,6189,17110,5908
2918,230,2,5510.6357421875,0,714.1441650390625,38296,24778,9597
2919,230,2,4395.8623046875,0,1005.5780029296875,6182,15209,6642
2920,230,2,4384.7578125,0,928.6861572265625,6001,12370,8647
2921,230,2,5394.63232421875,78.4161605834961,651.6705322265625,19113,21570,6924
2922,230,2,4350.6943359375,0,933.1077880859375,2538,7173,5743
2923,230,2,4067.010986328125,0,999.48126220703125,3869,11206,5042
2924,230,2,4372.2451171875,0,901.4742431640625,23399,21104,7806
2925,230,2,3704.353515625,0,1049.1656494140625,5268,11739,9047
2926,230,2,5248.59765625,0,719.28582763671875,6021,13734,6815
2927,230,2,4489.93408203125,0,830.71905517578125,9529,16067,6978
2928,230,2,4052.033447265625,0,1020.39111328125,12630,17340,6323
2929,230,2,5403.82958984375,0,718.181884765625,16849,17314,9048
2930,230,2,4620.28076171875,0,963.61309814453125,6182,15209,6642
2931,230,2,4193.4462890625,0,1048.3638916015625,24876,20722,9772
2932,230,2,4648.7802734375,0,891.69012451171875,35943,24083,8605
2933,230,2,7236.3984375,241.14080810546875,346.5820007324219,30621,25589,5779
2934,230,2,4944.5458984375,0,714.115234375,5009,12469,4734
2935,230,2,4284.61865234375,0,873.6668701171875,7338,11757,9715
2936,230,2,4596.22021484375,0,918.78955078125,6201,13864,6062
2937,230,2,4061.676025390625,0,1089.9674072265625,12483,15401,9558
2938,230,2,5168.4443359375,0,717.69805908203125,14732,15908,9614
2939,230,2,4066.974365234375,0,1027.54736328125,17315,19306,8021
2940,230,2,3822.08544921875,0,1052.81787109375,23399,21104,7806
2941,230,2,4693.03759765625,0,816.2568359375,2861,8769,3829
2942,230,2,4202.865234375,0,1023.1360473632813,16571,18764,8597
2943,230,2,5603.86572265625,0,653.0404052734375,32591,23708,9412
2944,230,2,5632.64208984375,0,642.6505126953125,31192,23302,8292
2945,230,2,4190.04931640625,0,913.15509033203125,1602,7329,1257
2946,230,2,3670.089599609375,0,922.92864990234375,1763,8534,1698
2947,230,2,3546.95849609375,0,1084.396728515625,7088,12727,9836
2948,230,2,4926.005859375,0,759.7685546875,4178,8564,9256
2949,230,2,4467.9677734375,0,783.78369140625,4573,13308,5754
2950,230,2,5764.69970703125,0,620.81744384765625,6813,12026,9385
2951,230,2,4168.42822265625,0,976.3857421875,6508,10996,8830
2952,230,2,4370.44287109375,0,874.15460205078125,32523,24995,6678
2953,230,2,4084.541015625,0,1035.16552734375,4751,11744,4028
2954,230,2,4795.6943359375,0,754.78155517578125,12758,16067,8162
2955,230,2,4336.21826171875,0,995.79718017578125,18030,21293,5765
2956,230,2,5065.4111328125,0,731.1763916015625,8978,15762,6992
2957,230,2,4318.20849609375,0,952.7769775390625,8278,17440,8253
2958,230,2,4427.8564453125,0,937.6273193359375,10781,13539,9749
2959,230,2,4306.2587890625,0,873.785400390625,5518,11593,7520
2960,230,2,4921.033203125,0,849.023681640625,11900,20171,8453
2961,230,2,5306.09423828125,0,694.139404296875,3811,11446,3357
2962,230,2,6271.6396484375,0,484.1207275390625,16059,17559,9344
2963,230,2,4432.19384765625,0,949.51226806640625,23919,20236,8849
2964,230,2,4515.6083984375,0,983.921630859375,6826,11193,9522
